time,sst_anomaly_forecast,lat,lon
2024-08-31 00:10:01+00:00,-0.4799937,-18.0,147.0
2024-09-30 00:10:01+00:00,-0.4625121,-18.0,147.0
2024-10-31 00:10:01+00:00,-0.402857,-18.0,147.0
2024-11-30 00:10:01+00:00,-0.27451184,-18.0,147.0
2024-12-31 00:10:01+00:00,-0.07293474,-18.0,147.0
2025-01-31 00:10:01+00:00,0.07681539,-18.0,147.0
2025-02-28 00:10:01+00:00,0.14753611,-18.0,147.0
2025-03-31 00:10:01+00:00,0.28678492,-18.0,147.0
2025-04-30 00:10:01+00:00,0.3950187,-18.0,147.0
2025-05-31 00:10:01+00:00,0.5626733,-18.0,147.0
2025-06-30 00:10:01+00:00,0.6718031,-18.0,147.0
2025-07-31 00:10:01+00:00,0.78685737,-18.0,147.0
2025-08-31 00:10:01+00:00,0.8844882,-18.0,147.0
2025-09-30 00:10:01+00:00,0.78425765,-18.0,147.0
2025-10-31 00:10:01+00:00,0.65046686,-18.0,147.0
2025-11-30 00:10:01+00:00,0.5180512,-18.0,147.0
2025-12-31 00:10:01+00:00,0.555411,-18.0,147.0
2026-01-31 00:10:01+00:00,0.5237703,-18.0,147.0
2026-02-28 00:10:01+00:00,0.5903063,-18.0,147.0
2026-03-31 00:10:01+00:00,0.6232991,-18.0,147.0
2026-04-30 00:10:01+00:00,0.5577123,-18.0,147.0
2026-05-31 00:10:01+00:00,0.5868772,-18.0,147.0
2026-06-30 00:10:01+00:00,0.60875684,-18.0,147.0
2026-07-31 00:10:01+00:00,0.6036536,-18.0,147.0
2026-08-31 00:10:01+00:00,0.53115505,-18.0,147.0
2026-09-30 00:10:01+00:00,0.5331465,-18.0,147.0
2026-10-31 00:10:01+00:00,0.6448321,-18.0,147.0
2026-11-30 00:10:01+00:00,0.8153716,-18.0,147.0
2026-12-31 00:10:01+00:00,1.0172589,-18.0,147.0
2027-01-31 00:10:01+00:00,1.2406431,-18.0,147.0
2027-02-28 00:10:01+00:00,1.3353146,-18.0,147.0
2027-03-31 00:10:01+00:00,1.3509685,-18.0,147.0
2027-04-30 00:10:01+00:00,1.3028281,-18.0,147.0
2027-05-31 00:10:01+00:00,1.289399,-18.0,147.0
2027-06-30 00:10:01+00:00,1.2023722,-18.0,147.0
2027-07-31 00:10:01+00:00,1.0779146,-18.0,147.0
2027-08-31 00:10:01+00:00,0.96217155,-18.0,147.0
2027-09-30 00:10:01+00:00,0.8909611,-18.0,147.0
2027-10-31 00:10:01+00:00,0.8615156,-18.0,147.0
2027-11-30 00:10:01+00:00,0.7797311,-18.0,147.0
2027-12-31 00:10:01+00:00,0.7122966,-18.0,147.0
2028-01-31 00:10:01+00:00,0.65598816,-18.0,147.0
2028-02-29 00:10:01+00:00,0.52615166,-18.0,147.0
2028-03-31 00:10:01+00:00,0.3814723,-18.0,147.0
2028-04-30 00:10:01+00:00,0.27971265,-18.0,147.0
2028-05-31 00:10:01+00:00,0.19470483,-18.0,147.0
2028-06-30 00:10:01+00:00,0.15202741,-18.0,147.0
2028-07-31 00:10:01+00:00,0.16397572,-18.0,147.0
2028-08-31 00:10:01+00:00,0.21079426,-18.0,147.0
2028-09-30 00:10:01+00:00,0.26837698,-18.0,147.0
2028-10-31 00:10:01+00:00,0.3324309,-18.0,147.0
2028-11-30 00:10:01+00:00,0.39186427,-18.0,147.0
2028-12-31 00:10:01+00:00,0.45414,-18.0,147.0
2029-01-31 00:10:01+00:00,0.52581364,-18.0,147.0
2029-02-28 00:10:01+00:00,0.6031875,-18.0,147.0
2029-03-31 00:10:01+00:00,0.6874113,-18.0,147.0
2029-04-30 00:10:01+00:00,0.7626899,-18.0,147.0
2029-05-31 00:10:01+00:00,0.8079394,-18.0,147.0
2029-06-30 00:10:01+00:00,0.80547935,-18.0,147.0
2029-07-31 00:10:01+00:00,0.747839,-18.0,147.0
2029-08-31 00:10:01+00:00,0.6652282,-18.0,147.0
2029-09-30 00:10:01+00:00,0.56823283,-18.0,147.0
2029-10-31 00:10:01+00:00,0.46344057,-18.0,147.0
2029-11-30 00:10:01+00:00,0.37987036,-18.0,147.0
2029-12-31 00:10:01+00:00,0.3098581,-18.0,147.0
2030-01-31 00:10:01+00:00,0.27815646,-18.0,147.0
2030-02-28 00:10:01+00:00,0.2884636,-18.0,147.0
2030-03-31 00:10:01+00:00,0.35888284,-18.0,147.0
2030-04-30 00:10:01+00:00,0.43904865,-18.0,147.0
2030-05-31 00:10:01+00:00,0.548015,-18.0,147.0
2030-06-30 00:10:01+00:00,0.6630394,-18.0,147.0
2030-07-31 00:10:01+00:00,0.7811686,-18.0,147.0
2030-08-31 00:10:01+00:00,0.8792324,-18.0,147.0
2030-09-30 00:10:01+00:00,0.94137305,-18.0,147.0
2030-10-31 00:10:01+00:00,0.9617183,-18.0,147.0
2030-11-30 00:10:01+00:00,0.93319213,-18.0,147.0
2030-12-31 00:10:01+00:00,0.8808818,-18.0,147.0
2031-01-31 00:10:01+00:00,0.81710094,-18.0,147.0
2031-02-28 00:10:01+00:00,0.7518816,-18.0,147.0
2031-03-31 00:10:01+00:00,0.68864393,-18.0,147.0
2031-04-30 00:10:01+00:00,0.63219273,-18.0,147.0
