sst_mean,sst_max,sst_min,sst_std,par_mean,par_max,par_min,par_std,kd_490_mean,kd_490_max,kd_490_min,kd_490_std,month_sin,month_cos,co2_ppm,time,month,pred_chlor_a_mean,pred_poc_mean,bleaching_risk,bio_demand,bio_supply
25.153873,30.124733,20.158989,1.2091345,39.751556,47.765457,30.620977,2.156943,0.03814735,1.1455836,0.01952972,0.03170743,-0.8660254037844385,-0.5000000000000004,423.50354,2028-08-31 00:45:01.884,8,0.19768798,54.785778,1,1.0107227445564542,1.565308
25.591887,31.179193,21.59328,0.9750305,47.84364,53.303448,35.449196,2.4134805,0.036808472,1.759587,0.018337939,0.036605034,-1.0,-1.8369701987210297e-16,419.32056,2028-09-30 00:45:01.884,9,0.1853223,53.011364,1,1.0418796947025435,1.5146104
26.56018,32.24416,23.417892,0.804264,52.65861,57.89008,38.630825,2.6768343,0.036179975,1.9746796,0.018488506,0.03877673,-0.8660254037844386,0.5000000000000001,417.511,2028-10-31 00:45:01.884,10,0.1847046,51.239254,1,1.1142075523094321,1.4639786
27.95471,32.56559,24.914072,0.77911365,54.069386,61.24314,39.59942,3.1278949,0.03625675,1.7084287,0.018695245,0.03279251,-0.5000000000000004,0.8660254037844384,415.4656,2028-11-30 00:45:01.884,11,0.18580331,50.62623,1,1.2272855866315873,1.4464637
28.952599,33.07326,26.333036,0.801649,53.41651,62.839046,37.265553,3.5973558,0.037164286,1.359814,0.018317034,0.031455304,-2.4492935982947064e-16,1.0,414.5084,2028-12-31 00:45:01.884,12,0.19973941,51.539993,0,1.315179667104185,1.4725713
29.404882,33.66246,27.022785,0.7693166,52.257553,61.782295,33.175552,4.1398487,0.040046144,1.8960118,0.017841117,0.0442045,0.49999999999999994,0.8660254037844387,414.7685,2029-01-31 00:45:01.884,1,0.20556365,56.09413,0,1.357063472509431,1.6026895
28.74289,33.428116,26.839724,0.818447,46.954742,58.005898,30.168213,4.0247526,0.049723256,3.812843,0.018471904,0.101309836,0.8660254037844386,0.5000000000000001,416.33612,2029-02-28 00:45:01.884,2,0.34950292,74.59779,0,1.2962005937285936,2.1313655
28.682243,33.13559,26.75585,0.7606413,47.47834,54.216045,30.809254,3.393994,0.04580847,3.1002693,0.019124942,0.07268548,1.0,6.123233995736766e-17,411.84494,2029-03-31 00:45:01.884,3,0.2835267,65.18599,0,1.290763153559496,1.8624568
28.078646,32.472153,25.376526,0.91042113,42.128193,49.285812,29.065212,3.0902002,0.046939597,3.1924684,0.019085728,0.07340105,0.8660254037844387,-0.4999999999999998,416.40024,2029-04-30 00:45:01.884,4,0.32305688,70.98949,0,1.2378741082659763,2.028271
26.91686,31.113768,22.338242,1.080077,35.760597,43.586155,26.604382,2.8245087,0.0444609,3.147851,0.019085284,0.05767123,0.49999999999999994,-0.8660254037844387,418.0075,2029-05-31 00:45:01.884,5,0.27564588,66.82698,0,1.1420976442822879,1.9093423
25.725508,29.60189,19.805525,1.2490542,32.292217,40.28759,26.110758,2.3367958,0.04172392,2.6621888,0.019835735,0.04622742,1.2246467991473532e-16,-1.0,417.9616,2029-06-30 00:45:01.884,6,0.24499694,60.565067,0,1.0515743082470626,1.7304305
25.136866,28.963402,19.26151,1.3781779,34.273907,43.15934,28.440804,2.0792367,0.04004858,1.492591,0.020379998,0.03557509,-0.4999999999999997,-0.8660254037844388,419.15024,2029-07-31 00:45:01.884,7,0.23295125,58.984962,0,1.009531970796534,1.6852846
25.291174,29.419195,20.0718,1.2680413,39.737473,48.617508,31.456602,2.0312428,0.03856441,1.3435689,0.020265881,0.034592267,-0.8660254037844385,-0.5000000000000004,420.14008,2029-08-31 00:45:01.884,8,0.21387362,58.03531,0,1.0203876904071323,1.6581516
25.53901,30.223858,21.870892,0.9923305,48.33611,54.776463,35.738758,2.463893,0.037630174,2.139288,0.019561958,0.042309824,-1.0,-1.8369701987210297e-16,415.17615,2029-09-30 00:45:01.884,9,0.1831531,53.62175,1,1.0380680342397266,1.53205
26.728804,31.57288,23.585611,0.8616981,53.983284,60.126884,39.718964,2.9677613,0.036683492,2.0684302,0.019114638,0.041335125,-0.8660254037844386,0.5000000000000001,413.50208,2029-10-31 00:45:01.884,10,0.1966665,51.980423,1,1.127306954071053,1.485155
27.951715,32.233864,24.955921,0.8354891,54.288025,62.894436,40.695496,3.313554,0.036280338,1.4589155,0.018829104,0.033585314,-0.5000000000000004,0.8660254037844384,411.9101,2029-11-30 00:45:01.884,11,0.18580331,50.375423,1,1.2270308315573082,1.4392978
28.818188,32.73002,26.116364,0.8078309,53.19987,63.286964,37.99186,3.6929412,0.037134774,1.3419739,0.01829332,0.032548532,-2.4492935982947064e-16,1.0,410.99902,2029-12-31 00:45:01.884,12,0.18014318,51.787273,1,1.3029834866150227,1.4796364
29.00534,33.152115,26.654888,0.7101567,51.509834,61.102432,34.901764,3.6862135,0.042081624,2.3581748,0.018751586,0.058420617,0.49999999999999994,0.8660254037844387,411.49426,2030-01-31 00:45:01.884,1,0.22400768,59.17285,0,1.3199964046154518,1.6906528
