sst_mean,sst_max,sst_min,sst_std,par_mean,par_max,par_min,par_std,kd_490_mean,kd_490_max,kd_490_min,kd_490_std,month_sin,month_cos,co2_ppm,time,pred_chlor_a_mean,pred_poc_mean,bleaching_risk
24.666584,27.880278,19.657238,1.1264201,34.022778,41.697132,27.950445,2.305051,0.042233758,1.7334393,0.022403637,0.04004394,-0.42347807,-0.71913326,413.5966,2030-07-31 00:45:01.884,0.23962966,62.862965,0
24.54003,27.805473,20.455833,1.101334,40.25686,47.05179,30.761227,2.194025,0.040727664,1.3538511,0.023056783,0.035749413,-0.866661,-0.3725245,413.56155,2030-08-31 00:45:01.884,0.22241563,58.396362,0
24.732513,28.258698,22.166946,0.8948053,48.53313,53.27347,34.86561,2.4972348,0.03930614,1.2727473,0.022761503,0.032637496,-0.99967057,0.17649758,411.61603,2030-09-30 00:45:01.884,0.20549227,57.68833,0
25.576258,29.193277,23.588589,0.76148707,54.87838,59.137733,37.50086,3.0471594,0.039032586,1.1223862,0.021882469,0.026795369,-0.8739934,0.39357215,410.75024,2030-10-31 00:45:01.884,0.20274049,57.374023,0
26.845444,30.420069,24.74482,0.76443803,55.962658,62.059113,40.181633,3.4571521,0.03846594,0.71422255,0.021265266,0.02669818,-0.5127496,0.60867083,409.62808,2030-11-30 00:45:01.884,0.19675072,54.77434,1
27.741352,31.275486,25.577549,0.7908197,55.267006,62.88359,40.745255,3.6427827,0.038788572,0.54867685,0.021090975,0.027080242,-0.16642837,0.7328884,408.18652,2030-12-31 00:45:01.884,0.19185293,54.122505,1
28.538351,31.642996,26.03341,0.7235513,53.83634,62.908733,39.136925,3.4779472,0.040390685,1.139025,0.021303613,0.034529995,0.10873908,0.722133,409.7506,2031-01-31 00:45:01.884,0.20814304,57.22528,0
29.13928,32.13753,26.325483,0.6593771,50.468517,60.49695,36.64264,3.0861824,0.043580897,2.2498722,0.02173283,0.050711963,0.5173504,0.41434827,410.98288,2031-02-28 00:45:01.884,0.23591286,59.91147,0
29.02093,31.838854,25.998034,0.6315477,48.19193,56.504745,35.397938,2.7977328,0.044745732,2.5317216,0.022211311,0.053516474,0.80559385,0.073223084,411.9805,2031-03-31 00:45:01.884,0.27006173,63.033604,0
28.04823,31.177597,24.97309,0.643816,45.108006,50.768932,33.62915,2.5414596,0.044164646,1.9069997,0.022365456,0.04439535,0.7563632,-0.2707524,414.29248,2031-04-30 00:45:01.884,0.273448,64.7544,0
26.8291,30.23277,23.47932,0.7729007,39.759712,46.661335,31.042055,2.4297805,0.04351266,1.2557666,0.022239689,0.03926175,0.46425575,-0.529831,416.03784,2031-05-31 00:45:01.884,0.26186982,64.83161,0
25.692661,29.708933,21.501575,0.95364594,36.110615,43.558952,27.75095,2.3718305,0.0426846,0.920903,0.022097647,0.031477477,0.024652217,-0.7165411,416.27722,2031-06-30 00:45:01.884,0.25785065,63.389618,0
25.031918,29.373777,20.263765,1.1326609,35.959274,42.57576,26.177277,2.2896552,0.041721545,0.7553872,0.022094883,0.027620336,-0.29338884,-0.6857951,417.29672,2031-07-31 00:45:01.884,0.23919359,62.398273,0
24.8052,29.31718,20.324827,1.1364402,40.27628,46.73921,27.473215,2.443612,0.040384036,0.5902628,0.022165129,0.027866498,-0.5940687,-0.47919142,416.40515,2031-08-31 00:45:01.884,0.22045109,58.887596,0
